Poster,No_Bedroom,Area,Apartment_Type,Furniture_Type,Price,Latitude,Longitude
 cá nhân ,1.0,30.0,chung cư mini,full,3.7,20.9985921,105.795831
 môi giới ,1.0,30.0,chung cư thường,full,3.0,21.0713471,105.7932944
 môi giới ,1.0,30.0,chung cư thường,full,2.7,20.9764189,105.7958105
 cá nhân ,1.0,45.0,chung cư thường,full cao cấp,5.5,21.027138,105.8590362
 môi giới ,1.0,35.0,chung cư studio,full,12.0,21.0304313,105.8149845
 môi giới ,3.0,102.0,chung cư thường,cơ bản,12.5,21.0310421,105.7808293
 môi giới ,1.0,35.0,chung cư mini,unk,4.5,21.0418864,105.7755158
 môi giới ,2.0,80.0,chung cư thường,full cao cấp,10.0,21.0575495,105.8057799
 môi giới ,1.0,35.0,chung cư thường,full,6.0,21.0323732,105.8095708
 môi giới ,2.0,65.0,chung cư thường,full,3.0,21.0164183,105.9448441
 cá nhân ,2.0,65.0,chung cư thường,full,7.5,21.008652,105.854818
 môi giới ,1.0,36.0,chung cư studio,full,4.2,21.0030906,105.6483168
 môi giới ,1.0,20.0,chung cư mini,unk,3.6,21.0416517,105.8052068
 môi giới ,1.0,20.0,chung cư mini,unk,2.7,21.0435739,105.7784178
 môi giới ,1.0,28.0,chung cư studio,unk,7.0,21.0041237,105.7819569
 môi giới ,2.0,66.0,chung cư thường,full cao cấp,10.0,21.0181513,105.7894426
 môi giới ,1.0,38.0,chung cư thường,unk,5.0,21.0220401,105.7977417
 môi giới ,3.0,99.0,chung cư thường,full,15.0,21.0442326,105.7673186
 môi giới ,2.0,80.0,chung cư thường,full,9.0,21.031007,105.7598975
 môi giới ,2.0,50.0,chung cư thường,full,6.0,21.0309984,105.8000769
 môi giới ,3.0,110.0,chung cư thường,full,11.0,21.0738351,105.8076991
 môi giới ,1.0,40.0,chung cư thường,full,2.5,20.9875545,105.8135338
 môi giới ,2.0,75.0,chung cư thường,full,12.0,20.997594,105.8037471
 môi giới ,1.0,48.0,chung cư thường,full,7.0,21.032723,105.7984797
 môi giới ,3.0,115.0,chung cư thường,full cao cấp,14.0,20.9997728,105.8145324
 môi giới ,2.0,65.0,chung cư thường,full,7.0,21.0164183,105.9448441
 môi giới ,2.0,70.0,chung cư thường,full,13.0,21.0229964,105.7928028
 cá nhân ,1.0,25.0,chung cư thường,full,5.0,21.0427738,105.8401496
 môi giới ,1.0,45.0,chung cư thường,unk,7.0,21.0193823,105.827416
 môi giới ,3.0,100.0,chung cư thường,cơ bản,9.5,21.0307101,105.7766821
 môi giới ,2.0,55.0,chung cư tập thể,unk,6.0,21.022873,105.8149917
 môi giới ,1.0,30.0,chung cư mini,full,3.0,20.988178,105.7931515
 môi giới ,1.0,25.0,chung cư mini,full,3.8,21.032723,105.7984797
 cá nhân ,3.0,109.0,chung cư thường,unk,11.0,20.9934824,105.8063835
 môi giới ,2.0,98.0,chung cư thường,full,8.0,20.9948398,105.8626398
 cá nhân ,2.0,55.0,chung cư mini,unk,6.2,20.9830938,105.8129692
 môi giới ,1.0,25.0,chung cư thường,nguyên bản,3.2,20.9801219,105.802612
 môi giới ,2.0,68.0,chung cư thường,full cao cấp,10.0,21.031007,105.7598975
 môi giới ,2.0,75.0,chung cư thường,unk,11.0,20.9841802,105.8084522
 môi giới ,1.0,40.0,chung cư mini,full,4.2,21.0376972,105.7989099
 cá nhân ,2.0,70.0,chung cư thường,cơ bản,9.5,21.0084108,105.8014449
 môi giới ,2.0,76.0,chung cư thường,full cao cấp,14.5,21.0174168,105.7820991
 cá nhân ,2.0,80.0,chung cư thường,unk,6.0,21.0022646,105.8227453
 cá nhân ,1.0,32.0,chung cư thường,unk,4.0,21.0049221,105.7826343
 môi giới ,1.0,30.0,chung cư mini,full,3.0,21.0206944,105.862906
 cá nhân ,2.0,78.0,chung cư thường,full,15.0,21.055584,105.8084368
 môi giới ,1.0,20.0,chung cư mini,full,3.5,21.029157,105.8351011
 cá nhân ,2.0,80.0,chung cư thường,full cao cấp,14.0,21.0442326,105.7673186
 môi giới ,1.0,25.0,chung cư mini,full cao cấp,3.9,21.0093579,105.7976247
 môi giới ,1.0,30.0,chung cư thường,unk,4.9,21.019231,105.853881
 môi giới ,2.0,80.0,chung cư thường,full cao cấp,11.0,21.0349188,105.7643975
 môi giới ,1.0,35.0,chung cư mini,full,6.5,21.0217949,105.8243471
 cá nhân ,1.0,28.0,chung cư thường,full,3.0,21.0139865,105.7971098
 cá nhân ,2.0,60.0,chung cư tập thể,full,7.3,21.0012748,105.8393044
 cá nhân ,1.0,20.0,chung cư thường,unk,2.0,20.9828413,105.8121513
 cá nhân ,2.0,40.0,chung cư tập thể,unk,3.5,21.0051976,105.8355164
 môi giới ,1.0,25.0,chung cư mini,full,2.6,21.0133287,105.8020731
 môi giới ,1.0,40.0,chung cư thường,full,8.0,21.0180002,105.7821755
 môi giới ,2.0,54.0,chung cư thường,full cao cấp,5.0,21.0030906,105.6483168
 môi giới ,1.0,45.0,chung cư thường,full,3.9,20.9882537,105.7988373
 môi giới ,3.0,120.0,chung cư thường,cơ bản,12.0,21.0342555,105.7820067
 môi giới ,2.0,98.0,chung cư thường,cơ bản,10.0,20.999531,105.8074389
 môi giới ,3.0,88.0,chung cư thường,full,11.0,20.9578958,105.8430654
 môi giới ,2.0,75.0,chung cư thường,nguyên bản,14.0,21.0220868,105.8237926
 môi giới ,2.0,68.0,chung cư thường,cơ bản,11.0,21.0105633,105.7994223
 môi giới ,3.0,95.0,chung cư thường,cơ bản,12.0,21.0351136,105.7694665
 môi giới ,3.0,90.0,chung cư thường,unk,12.0,21.0042496,105.8033839
 môi giới ,2.0,85.0,chung cư thường,full,10.0,21.0303441,105.7616398
 môi giới ,1.0,40.0,chung cư thường,full,10.0,21.0105633,105.7994223
 môi giới ,2.0,80.0,chung cư thường,unk,11.0,21.0326497,105.7701703
 môi giới ,1.0,35.0,chung cư thường,full,3.4,21.0512309,105.7381135
 môi giới ,3.0,95.0,chung cư thường,full,11.5,21.030908,105.7771856
 môi giới ,1.0,35.0,chung cư thường,full,2.5,21.0193284,105.8014609
 môi giới ,2.0,70.0,chung cư thường,full,7.0,20.9599379,105.8337546
 môi giới ,1.0,50.0,chung cư thường,unk,6.0,21.0376771,105.7976502
 môi giới ,1.0,40.0,chung cư studio,full,5.5,21.0211462,105.775579
 môi giới ,2.0,68.0,chung cư thường,full,5.5,21.0627864,105.9083056
 môi giới ,2.0,30.0,chung cư thường,full,5.3,21.0012554,105.8137407
 môi giới ,2.0,50.0,chung cư thường,full,7.5,20.9971504,105.8216911
 môi giới ,1.0,35.0,chung cư studio,full cao cấp,6.0,21.0180002,105.7821755
 môi giới ,3.0,117.0,chung cư thường,cơ bản,14.5,21.034464,105.795604
 cá nhân ,3.0,135.0,chung cư thường,full,8.0,21.0310836,105.7745675
 môi giới ,3.0,100.0,chung cư thường,unk,8.0,20.9895261,105.8654771
 cá nhân ,2.0,55.0,chung cư thường,unk,8.2,21.0187786,105.7990025
 cá nhân ,1.0,25.0,chung cư mini,full,3.46,21.0200466,105.7781468
 môi giới ,3.0,90.0,chung cư thường,full,15.0,21.0371784,105.8730678
 môi giới ,2.0,70.0,chung cư tập thể,unk,5.0,20.9981973,105.8127529
 môi giới ,2.0,75.0,chung cư thường,full,8.0,20.9942444,105.8567243
 môi giới ,2.0,65.0,chung cư thường,cơ bản,8.0,21.031007,105.7598975
 môi giới ,3.0,110.0,chung cư thường,cơ bản,11.0,21.0021832,105.8201137
 môi giới ,3.0,106.0,chung cư thường,cơ bản,13.0,21.0351136,105.7694665
 môi giới ,1.0,38.0,chung cư mini,full,5.2,20.9995402,105.8207756
 cá nhân ,2.0,40.0,chung cư mini,full,5.0,21.0118334,105.805362
 môi giới ,3.0,104.0,chung cư thường,cơ bản,11.5,21.0852602,105.816961
 cá nhân ,1.0,27.0,chung cư mini,full,3.0,21.0036206,105.8110679
 môi giới ,1.0,25.0,chung cư mini,full,3.5,21.0108744,105.7998
 môi giới ,2.0,64.0,chung cư thường,full,7.5,20.9791557,105.7855763
 môi giới ,2.0,105.0,chung cư thường,full,9.9,21.0030041,105.8359903
 môi giới ,1.0,38.0,chung cư mini,unk,4.8,20.9971504,105.8216911
 môi giới ,2.0,70.0,chung cư thường,cơ bản,8.0,20.9748425,105.7770977
 môi giới ,1.0,25.0,chung cư mini,full,3.0,20.9997275,105.8485897
 môi giới ,2.0,80.0,chung cư thường,cơ bản,8.5,10.7747808,106.6642724
 cá nhân ,2.0,60.0,chung cư thường,full,7.0,21.0017869,105.8074045
 cá nhân ,2.0,70.0,chung cư thường,full cao cấp,15.0,21.0188359,105.8413875
 cá nhân ,2.0,42.0,chung cư thường,unk,3.5,20.9905261,105.7996081
 môi giới ,1.0,46.0,chung cư studio,full,2.5,21.0164183,105.9448441
 cá nhân ,1.0,20.0,chung cư thường,full,2.5,21.0121265,105.8015904
 cá nhân ,1.0,30.0,chung cư mini,unk,3.0,20.9677236,105.8718065
 cá nhân ,2.0,45.2,chung cư thường,full,8.5,21.0405026,105.8158784
 cá nhân ,1.0,20.0,chung cư thường,unk,2.2,20.9960238,105.8511476
 môi giới ,2.0,105.0,chung cư thường,full cao cấp,15.0,20.9936291,105.8059224
 môi giới ,1.0,25.0,chung cư thường,full,3.0,21.01426,105.8039626
 cá nhân ,1.0,70.0,chung cư mini,unk,4.5,20.9962519,105.855573
 môi giới ,3.0,85.0,chung cư thường,full,8.0,20.9646872,105.8685174
 môi giới ,3.0,105.0,chung cư thường,full cao cấp,15.0,20.9935065,105.8317399
 cá nhân ,2.0,75.0,chung cư thường,full,12.0,21.0029321,105.7997028
 môi giới ,1.0,37.0,chung cư thường,full,7.5,21.0461519,105.9156477
 cá nhân ,2.0,84.0,chung cư thường,cơ bản,6.0,20.9611729,105.7952825
 môi giới ,2.0,60.0,chung cư thường,full,3.0,21.0164183,105.9448441
 môi giới ,1.0,45.0,chung cư thường,full,7.0,21.0227782,105.8433928
 môi giới ,1.0,50.0,chung cư studio,unk,6.5,21.0455392,105.8408744
 cá nhân ,2.0,70.0,chung cư thường,full,7.0,21.0221606,105.771796
 cá nhân ,1.0,25.0,chung cư mini,full,2.6,20.9832579,105.8763432
 môi giới ,1.0,30.0,chung cư studio,full cao cấp,5.0,21.0041237,105.7819569
 môi giới ,1.0,35.0,chung cư mini,full cao cấp,4.0,21.0478137,105.7974988
 cá nhân ,2.0,40.0,chung cư thường,unk,3.5,21.0433936,105.7773731
 cá nhân ,2.0,68.0,chung cư thường,full,7.5,20.9599379,105.8337546
 môi giới ,1.0,25.0,chung cư thường,full,2.0,20.9590745,105.8429511
 môi giới ,4.0,182.0,chung cư thường,full,14.0,21.0302289,105.7765728
 môi giới ,1.0,40.0,chung cư mini,full,5.5,21.0105633,105.7994223
 môi giới ,2.0,30.0,chung cư mini,unk,3.5,21.0376138,105.764027
 môi giới ,1.0,25.0,chung cư mini,cơ bản,3.6,21.0105633,105.7994223
 môi giới ,2.0,80.0,chung cư thường,full cao cấp,12.0,21.036819,105.7808467
 môi giới ,1.0,27.0,chung cư mini,unk,3.8,21.0008727,105.8289214
 môi giới ,1.0,53.0,chung cư thường,unk,10.0,20.9982638,105.8673667
 môi giới ,1.0,28.0,chung cư thường,unk,4.0,21.031792,105.7884835
 môi giới ,2.0,100.0,chung cư thường,cơ bản,17.0,21.0360603,105.8062057
 môi giới ,3.0,110.0,chung cư thường,full,14.0,21.0704366,105.8088952
 môi giới ,3.0,100.0,chung cư thường,full,13.0,20.9828584,105.7813337
 môi giới ,3.0,100.0,chung cư thường,nguyên bản,12.0,21.0442326,105.7673186
 môi giới ,3.0,115.0,chung cư thường,full cao cấp,18.0,20.9936291,105.8059224
 môi giới ,1.0,30.0,chung cư thường,full,3.7,21.0111024,105.8089638
 môi giới ,1.0,38.0,chung cư thường,full,6.5,20.9970028,105.8244869
 môi giới ,1.0,45.0,chung cư thường,full,8.0,21.0538868,105.7876175
 môi giới ,1.0,45.0,chung cư thường,cơ bản,5.5,21.0041237,105.7819569
 môi giới ,2.0,70.0,chung cư tập thể,full,8.0,21.0270609,105.8194896
 môi giới ,2.0,70.0,chung cư thường,full cao cấp,11.0,21.0161278,105.7926129
 cá nhân ,1.0,35.0,chung cư mini,full,5.5,21.0113075,105.805031
 môi giới ,1.0,30.0,chung cư studio,full cao cấp,4.5,21.0164183,105.9448441
 môi giới ,2.0,50.0,chung cư thường,full,6.5,20.990307,105.813723
 cá nhân ,3.0,100.0,chung cư thường,unk,12.0,20.9578958,105.8430654
 cá nhân ,3.0,30.0,chung cư thường,unk,2.3,20.9640471,105.7493708
 môi giới ,1.0,30.0,chung cư thường,full cao cấp,4.0,21.0136381,105.7998833
 cá nhân ,3.0,65.0,chung cư thường,full,5.6,21.0566325,105.8771043
 cá nhân ,3.0,136.0,chung cư thường,full cao cấp,23.0,20.9995575,105.8145753
 môi giới ,1.0,28.0,chung cư studio,full,3.5,21.0713471,105.7932944
 môi giới ,4.0,110.0,chung cư thường,full cao cấp,14.5,21.0303441,105.7616398
 cá nhân ,2.0,55.0,chung cư thường,full,4.5,20.9558682,105.8062809
 cá nhân ,3.0,94.0,chung cư thường,unk,7.5,21.0779881,105.7869086
 môi giới ,1.0,45.0,chung cư thường,full,6.0,21.0333173,105.7752115
 môi giới ,2.0,80.0,chung cư thường,full cao cấp,9.0,21.0852602,105.816961
 môi giới ,3.0,112.0,chung cư thường,full cao cấp,18.0,21.0105633,105.7994223
 môi giới ,2.0,80.0,chung cư thường,full cao cấp,11.0,21.0560248,105.7967419
 môi giới ,1.0,45.0,chung cư tập thể,full,7.5,21.0261772,105.8578473
 môi giới ,2.0,95.0,chung cư thường,full,9.0,21.0215526,105.7878867
 môi giới ,2.0,70.0,chung cư thường,full,13.0,21.0705731,105.81175
 môi giới ,3.0,106.0,chung cư thường,cơ bản,13.0,21.0351136,105.7694665
 môi giới ,2.0,82.0,chung cư thường,full,9.0,21.0852602,105.816961
 cá nhân ,3.0,92.0,chung cư tập thể,full,6.0,20.9749347,105.7808936
 môi giới ,2.0,90.0,chung cư thường,full,9.5,21.0289833,105.8297637
 môi giới ,2.0,85.0,chung cư thường,full cao cấp,11.0,21.0349188,105.7643975
 môi giới ,2.0,65.0,chung cư thường,full,4.5,20.9638298,105.8318636
 môi giới ,2.0,87.0,chung cư thường,full cao cấp,8.5,20.9763059,105.8485736
 môi giới ,2.0,75.0,chung cư thường,cơ bản,4.8,20.9602233,105.8000276
 cá nhân ,2.0,68.0,chung cư thường,full,15.0,21.0042501,105.8695696
 môi giới ,2.0,60.0,chung cư thường,full,7.0,21.0027377,105.8574772
 môi giới ,2.0,90.0,chung cư thường,full,8.5,20.9837203,105.84554
 môi giới ,2.0,74.0,chung cư thường,full,22.0,21.0320552,105.8140835
 môi giới ,1.0,35.0,chung cư studio,full,7.0,21.0705731,105.81175
 môi giới ,1.0,30.0,chung cư studio,full,3.5,20.972307,105.7955793
 cá nhân ,1.0,20.0,chung cư thường,full,2.5,21.0179009,105.8643552
 môi giới ,1.0,45.0,chung cư thường,full,3.5,20.975846,105.7766069
 môi giới ,1.0,35.0,chung cư thường,full,6.5,21.075688,105.8247026
 cá nhân ,1.0,55.0,chung cư thường,unk,11.0,20.9922803,105.8684028
 môi giới ,2.0,72.0,chung cư thường,unk,11.0,21.0042496,105.8033839
 cá nhân ,1.0,70.0,chung cư thường,full,10.0,21.0802493,105.8183927
 môi giới ,2.0,55.0,chung cư thường,full,9.0,10.731846,106.6729029
 môi giới ,2.0,75.0,chung cư tập thể,unk,8.0,21.0233744,105.8198981
 cá nhân ,2.0,68.0,chung cư thường,full,6.5,20.9956952,105.8398505
 môi giới ,2.0,65.0,chung cư thường,full,9.0,20.9963888,105.8619924
 môi giới ,1.0,30.0,chung cư thường,unk,6.0,21.0516835,105.8112908
 cá nhân ,2.0,75.0,chung cư thường,unk,5.0,20.9696807,105.82825
 môi giới ,1.0,45.0,chung cư thường,full cao cấp,7.0,21.0478137,105.7974988
 cá nhân ,2.0,71.0,chung cư thường,unk,5.0,20.9839285,105.8583738
 môi giới ,2.0,70.0,chung cư tập thể,full,7.99,21.0270609,105.8194896
 môi giới ,1.0,60.0,chung cư tập thể,nguyên bản,5.5,20.9950028,105.8414585
 môi giới ,1.0,40.0,chung cư studio,full cao cấp,5.0,21.0551598,105.8366993
 cá nhân ,1.0,32.0,chung cư thường,full,2.7,21.0282176,105.7574701
 cá nhân ,3.0,80.0,chung cư thường,full,6.0,21.0861356,105.7856819
 cá nhân ,2.0,55.0,chung cư tập thể,cơ bản,7.0,21.0201687,105.8122505
 môi giới ,2.0,72.0,chung cư thường,full,11.0,21.0852602,105.816961
 môi giới ,2.0,90.0,chung cư thường,full,8.5,20.9763059,105.8485736
 môi giới ,1.0,25.0,chung cư thường,full,4.5,21.0081338,105.8462749
 môi giới ,1.0,42.0,chung cư thường,full cao cấp,4.0,21.0377412,105.8008204
 môi giới ,1.0,30.0,chung cư thường,full,3.5,21.0679188,105.7926212
 cá nhân ,1.0,45.0,chung cư thường,full,4.5,20.9599379,105.8337546
 môi giới ,2.0,85.0,chung cư thường,cơ bản,12.0,21.0326497,105.7701703
 môi giới ,2.0,70.0,chung cư thường,full cao cấp,10.5,21.028257,105.790815
 môi giới ,2.0,85.0,chung cư thường,full,5.5,20.9903367,105.7827237
 môi giới ,1.0,35.0,chung cư tập thể,unk,3.5,21.026952,105.7979572
 môi giới ,1.0,25.0,chung cư thường,full,3.0,10.7849351,106.6420635
 môi giới ,1.0,48.0,chung cư thường,full,5.0,21.0164183,105.9448441
 môi giới ,2.0,95.0,chung cư thường,full,11.0,21.0326497,105.7701703
 môi giới ,3.0,110.0,chung cư thường,full,7.0,21.0322646,105.7652784
 môi giới ,3.0,120.0,chung cư thường,unk,9.5,21.0183591,105.7937961
 cá nhân ,2.0,40.0,chung cư thường,full,4.2,20.940836,105.8435919
 môi giới ,3.0,100.0,chung cư thường,full,7.5,21.082717,105.7851
 môi giới ,1.0,27.0,chung cư mini,unk,3.8,21.0232671,105.7946587
 môi giới ,1.0,25.0,chung cư mini,full,3.5,21.0123362,105.8134016
 môi giới ,3.0,120.0,chung cư thường,unk,9.0,21.0220401,105.7977417
 môi giới ,2.0,80.0,chung cư thường,full,11.0,21.03534,105.820284
 cá nhân ,1.0,35.0,chung cư thường,full,5.8,21.0272556,105.8326992
 môi giới ,1.0,30.0,chung cư thường,full,2.6,21.0215902,105.7912316
 cá nhân ,1.0,30.0,chung cư mini,cơ bản,3.8,20.9845891,105.7995813
 môi giới ,1.0,50.0,chung cư thường,full,6.0,21.0390407,105.8479167
 môi giới ,1.0,48.0,chung cư thường,full,4.8,21.0087937,105.7967437
 môi giới ,3.0,125.0,chung cư thường,unk,18.0,21.0297517,105.7786741
 môi giới ,2.0,45.0,chung cư thường,full,5.0,21.0139865,105.7971098
 môi giới ,3.0,110.0,chung cư thường,unk,13.0,21.0351136,105.7694665
 môi giới ,3.0,110.0,chung cư thường,full,15.0,21.0042496,105.8033839
 môi giới ,2.0,95.0,chung cư thường,unk,13.0,21.0198997,105.7962207
 môi giới ,3.0,111.0,chung cư thường,cơ bản,11.0,20.9989709,105.8066593
 môi giới ,3.0,115.0,chung cư thường,cơ bản,10.0,21.0569074,105.7842341
 cá nhân ,2.0,35.0,chung cư thường,full,4.0,21.0908722,105.7880285
 môi giới ,1.0,25.0,chung cư mini,full,3.2,21.0221606,105.771796
 môi giới ,2.0,60.0,chung cư thường,full,9.5,21.0461519,105.9156477
 môi giới ,2.0,82.0,chung cư thường,full,10.0,21.0852602,105.816961
 cá nhân ,1.0,45.0,chung cư thường,unk,7.5,21.0681248,105.8226344
 môi giới ,1.0,45.0,chung cư thường,unk,8.5,21.0369189,105.7940027
 môi giới ,2.0,70.0,chung cư thường,full cao cấp,9.0,21.0852602,105.816961
 môi giới ,2.0,68.0,chung cư thường,full,9.0,21.0461519,105.9156477
 cá nhân ,1.0,33.0,chung cư thường,nguyên bản,2.5,20.9833181,105.8763653
 môi giới ,2.0,55.0,chung cư mini,full,8.5,21.0213451,105.8331223
 môi giới ,2.0,65.0,chung cư studio,full,3.0,21.0164183,105.9448441
 môi giới ,1.0,35.0,chung cư mini,full,4.0,21.0161086,105.83795
 môi giới ,1.0,50.0,chung cư thường,full,9.5,21.0314597,105.8226568
 môi giới ,2.0,80.0,chung cư thường,full cao cấp,8.5,20.9739692,105.8216911
 cá nhân ,1.0,50.0,chung cư mini,full,6.0,21.0238081,105.7711185
 cá nhân ,2.0,83.0,chung cư thường,cơ bản,6.0,20.9613806,105.7935673
 môi giới ,2.0,50.0,chung cư thường,unk,6.0,21.0042694,105.8459098
 môi giới ,1.0,40.0,chung cư thường,unk,5.0,21.0377412,105.8008204
 cá nhân ,1.0,30.0,chung cư thường,full,4.5,21.0141769,105.8351417
 cá nhân ,1.0,30.0,chung cư thường,full,3.2,21.0332664,105.7937118
 cá nhân ,1.0,49.0,chung cư thường,unk,5.0,20.9903367,105.7827237
 môi giới ,2.0,70.0,chung cư thường,unk,10.0,21.0104484,105.8184403
 môi giới ,2.0,120.0,chung cư thường,full,10.0,21.0070457,105.8029953
 cá nhân ,1.0,45.0,chung cư thường,full,7.5,21.059544,105.7975083
 cá nhân ,1.0,25.0,chung cư thường,full,3.5,20.9791537,105.7962032
 môi giới ,1.0,25.0,chung cư thường,full,3.5,21.0230409,105.7951483
 môi giới ,3.0,110.0,chung cư thường,full,12.0,21.0021832,105.8201137
 môi giới ,1.0,47.0,chung cư thường,cơ bản,4.5,20.9599379,105.8337546
 môi giới ,2.0,83.0,chung cư thường,full cao cấp,11.0,21.0442326,105.7673186
 môi giới ,1.0,35.0,chung cư thường,unk,4.5,21.0136225,105.8058755
 môi giới ,2.0,75.0,chung cư thường,full,10.0,21.0852602,105.816961
 môi giới ,2.0,90.0,chung cư thường,full,9.0,21.0215526,105.7878867
 môi giới ,2.0,50.0,chung cư thường,cơ bản,6.0,21.0058026,105.8549049
 môi giới ,3.0,130.0,chung cư thường,full cao cấp,15.0,21.0007314,105.8160439
 môi giới ,2.0,60.0,chung cư tập thể,unk,6.0,21.021683,105.8150866
 môi giới ,1.0,32.0,chung cư thường,full,4.5,21.0252147,105.8272504
 môi giới ,1.0,35.0,chung cư thường,unk,5.5,21.0347206,105.8271548
 môi giới ,3.0,115.0,chung cư thường,full cao cấp,20.0,20.9997728,105.8145324
 môi giới ,2.0,82.0,chung cư thường,full,18.0,21.0105633,105.7994223
 môi giới ,1.0,40.0,chung cư studio,full,6.0,21.0802493,105.8183927
 môi giới ,2.0,80.0,chung cư thường,full cao cấp,13.0,21.0342555,105.7820067
 môi giới ,2.0,55.0,chung cư thường,full,5.5,21.0164183,105.9448441
 môi giới ,2.0,70.0,chung cư thường,full cao cấp,13.5,20.9972755,105.8671037
 môi giới ,2.0,74.0,chung cư thường,full cao cấp,10.5,21.028257,105.790815
 môi giới ,2.0,125.0,chung cư thường,full,13.0,21.0053431,105.825256
 môi giới ,2.0,92.0,chung cư thường,full,9.0,21.0215526,105.7878867
 cá nhân ,1.0,28.0,chung cư mini,full,3.6,21.0473565,105.7467341
 môi giới ,2.0,45.0,chung cư tập thể,unk,4.0,21.007201,105.8198005
 cá nhân ,1.0,20.0,chung cư studio,full,5.0,21.0232671,105.7946587
 cá nhân ,1.0,30.0,chung cư mini,full,4.0,21.0221606,105.771796
 cá nhân ,1.0,35.0,chung cư mini,nguyên bản,5.0,21.0418214,105.8411429
 môi giới ,2.0,92.0,chung cư thường,full,9.0,21.0215526,105.7878867
 môi giới ,1.0,40.0,chung cư thường,full,8.0,21.0180002,105.7821755
 môi giới ,1.0,28.0,chung cư thường,full,3.5,21.0036206,105.8110679
 môi giới ,1.0,35.0,chung cư thường,full,4.5,21.0251958,105.8331447
 cá nhân ,1.0,40.0,chung cư mini,full cao cấp,7.0,21.0362115,105.7869772
 môi giới ,2.0,70.0,chung cư thường,full,9.5,21.0041237,105.7819569
 môi giới ,2.0,85.0,chung cư thường,full,11.0,21.0303441,105.7616398
 môi giới ,3.0,95.0,chung cư thường,full,12.0,21.0303441,105.7616398
 môi giới ,2.0,40.0,chung cư thường,unk,5.0,21.0356005,105.7773174
 môi giới ,1.0,35.0,chung cư thường,full,5.5,21.0641138,105.8208201
 cá nhân ,3.0,220.0,chung cư thường,full,46.0,21.0110677,105.8494833
 môi giới ,1.0,50.0,chung cư thường,full,6.5,21.0679704,105.8252955
 cá nhân ,1.0,30.0,chung cư studio,full,6.0,21.0164183,105.9448441
 môi giới ,1.0,35.0,chung cư studio,unk,5.5,21.0352048,105.8532609
 môi giới ,2.0,90.0,chung cư thường,cơ bản,11.0,21.0351136,105.7694665
